MM TOURNAMENT REPORT: /opt/LIGHTER_Market_Making/logs/tournament/20260621T_STAGE2_PROMISING_L2_HIGH

SYMBOL   SLOTS FILLED   FILLS         VOL  PROF BEST_SCORE   BEST_PNL BEST FILE
------------------------------------------------------------------------------------------------------------------------
AERO       480    224     512 $  40300.33   224     287.48 $   3.5907 state_AERO_cj_dyn_asymmetric_lp0.3_lm0.3_kp0.035_km0.035_ep4.0_em4.0_a0.001_ph8e-05_sm1.0_vs0.1_minh3.0_maxh70.0_ls1.0_ks1.0_es1.0_ss1.0_c0.1_l2.json
AXS        480    480    1440 $ 110009.82   480     182.39 $   9.2444 state_AXS_cj_dyn_asymmetric_lp0.3_lm0.3_kp0.035_km0.035_ep4.0_em4.0_a0.001_ph8e-05_sm1.0_vs0.1_minh3.0_maxh70.0_ls1.0_ks1.0_es1.0_ss1.0_c0.12_l2.json
EDGE       480    160     480 $  37358.59    32      24.31 $   0.3287 state_EDGE_cj_dyn_asymmetric_lp0.3_lm0.3_kp0.035_km0.035_ep4.0_em4.0_a0.001_ph8e-05_sm1.0_vs0.1_minh3.0_maxh55.0_ls1.0_ks1.0_es1.0_ss1.0_c0.04_l2.json
EIGEN      480    480    4871 $ 337409.53   480     280.43 $  26.5231 state_EIGEN_cj_dyn_asymmetric_lp0.3_lm0.3_kp0.035_km0.035_ep4.0_em4.0_a0.001_ph8e-05_sm1.0_vs0.1_minh3.0_maxh55.0_ls1.0_ks1.0_es1.0_ss1.0_c0.04_l2.json
ETH        480    480    4272 $ 296866.38   480     134.24 $   6.4226 state_ETH_cj_dyn_asymmetric_lp0.3_lm0.3_kp0.035_km0.035_ep4.0_em4.0_a0.001_ph8e-05_sm1.8_vs0.1_minh6.0_maxh70.0_ls1.0_ks1.0_es1.0_ss1.0_c0.1_l2.json
HYPE       480    480    1781 $ 134043.99   480     397.94 $   7.7435 state_HYPE_cj_dyn_asymmetric_lp0.3_lm0.3_kp0.035_km0.035_ep4.0_em4.0_a0.001_ph8e-05_sm1.0_vs0.1_minh3.0_maxh90.0_ls1.0_ks1.0_es1.0_ss1.0_c0.1_l2.json
LIT        480    480    3488 $ 246933.26   320      75.91 $   8.5931 state_LIT_cj_dyn_asymmetric_lp0.3_lm0.3_kp0.035_km0.035_ep4.0_em4.0_a0.001_ph8e-05_sm1.0_vs0.1_minh3.0_maxh90.0_ls1.0_ks1.0_es1.0_ss1.0_c0.12_l2.json
SPX        480    320     512 $  39895.43     0     -46.15 $   0.0000 state_SPX_cj_dyn_asymmetric_lp0.3_lm0.3_kp0.035_km0.035_ep4.0_em4.0_a0.001_ph8e-05_sm1.0_vs0.1_minh3.0_maxh55.0_ls1.0_ks1.0_es1.0_ss1.0_c0.08_l2.json
TAO        480    480    1369 $ 101121.65   192      40.46 $   2.7231 state_TAO_cj_dyn_asymmetric_lp0.3_lm0.3_kp0.035_km0.035_ep4.0_em4.0_a0.001_ph8e-05_sm1.0_vs0.1_minh6.0_maxh55.0_ls1.0_ks1.0_es1.0_ss1.0_c0.12_l2.json
XMR        480    144     144 $  11514.59     0    -390.65 $   0.0000 state_XMR_cj_dyn_asymmetric_lp0.3_lm0.3_kp0.035_km0.035_ep4.0_em4.0_a0.001_ph8e-05_sm1.0_vs0.1_minh4.0_maxh55.0_ls1.0_ks1.0_es1.0_ss1.0_c0.06_l2.json
ZEC        480    480    2511 $ 171879.78   281     213.44 $   6.1262 state_ZEC_cj_dyn_asymmetric_lp0.3_lm0.3_kp0.035_km0.035_ep4.0_em4.0_a0.001_ph8e-05_sm1.3_vs0.1_minh6.0_maxh90.0_ls1.0_ks1.0_es1.0_ss1.0_c0.1_l2.json

TOP 100 GLOBAL BY QUALITY SCORE
  # SYM          SCORE        PNL   FILLS         VOL    SPRD    ADV5    sm   max   cap% FILE
------------------------------------------------------------------------------------------------------------------------------------
  1 HYPE        397.94 $   4.0618       1 $     99.36   -7.33   12.95   1.0  90.0    0.1 state_HYPE_cj_dyn_asymmetric_lp0.3_lm0.3_kp0.035_km0.035_ep4.0_em4.0_a0.001_ph8e-05_sm1.0_vs0.1_minh3.0_maxh90.0_ls1.0_ks1.0_es1.0_ss1.0_c0.1_l2.json
  2 HYPE        397.94 $   4.0618       1 $     99.36   -7.33   12.95  1.15  90.0    0.1 state_HYPE_cj_dyn_asymmetric_lp0.3_lm0.3_kp0.035_km0.035_ep4.0_em4.0_a0.001_ph8e-05_sm1.15_vs0.1_minh3.0_maxh90.0_ls1.0_ks1.0_es1.0_ss1.0_c0.1_l2.json
  3 HYPE        397.94 $   4.0618       1 $     99.36   -7.33   12.95   1.3  90.0    0.1 state_HYPE_cj_dyn_asymmetric_lp0.3_lm0.3_kp0.035_km0.035_ep4.0_em4.0_a0.001_ph8e-05_sm1.3_vs0.1_minh3.0_maxh90.0_ls1.0_ks1.0_es1.0_ss1.0_c0.1_l2.json
  4 HYPE        397.94 $   4.0618       1 $     99.36   -7.33   12.95  1.45  90.0    0.1 state_HYPE_cj_dyn_asymmetric_lp0.3_lm0.3_kp0.035_km0.035_ep4.0_em4.0_a0.001_ph8e-05_sm1.45_vs0.1_minh3.0_maxh90.0_ls1.0_ks1.0_es1.0_ss1.0_c0.1_l2.json
  5 HYPE        391.57 $   1.6048       1 $     39.90   -1.41   14.62   1.0  90.0   0.04 state_HYPE_cj_dyn_asymmetric_lp0.3_lm0.3_kp0.035_km0.035_ep4.0_em4.0_a0.001_ph8e-05_sm1.0_vs0.1_minh3.0_maxh90.0_ls1.0_ks1.0_es1.0_ss1.0_c0.04_l2.json
  6 HYPE        391.57 $   1.6048       1 $     39.90   -1.41   14.62   1.0  90.0   0.04 state_HYPE_cj_dyn_asymmetric_lp0.3_lm0.3_kp0.035_km0.035_ep4.0_em4.0_a0.001_ph8e-05_sm1.0_vs0.1_minh4.0_maxh90.0_ls1.0_ks1.0_es1.0_ss1.0_c0.04_l2.json
  7 HYPE        391.57 $   1.6048       1 $     39.90   -1.41   14.62   1.0  90.0   0.04 state_HYPE_cj_dyn_asymmetric_lp0.3_lm0.3_kp0.035_km0.035_ep4.0_em4.0_a0.001_ph8e-05_sm1.0_vs0.1_minh5.0_maxh90.0_ls1.0_ks1.0_es1.0_ss1.0_c0.04_l2.json
  8 HYPE        391.57 $   1.6048       1 $     39.90   -1.41   14.62   1.0  90.0   0.04 state_HYPE_cj_dyn_asymmetric_lp0.3_lm0.3_kp0.035_km0.035_ep4.0_em4.0_a0.001_ph8e-05_sm1.0_vs0.1_minh6.0_maxh90.0_ls1.0_ks1.0_es1.0_ss1.0_c0.04_l2.json
  9 HYPE        391.57 $   1.6048       1 $     39.90   -1.41   14.62  1.15  90.0   0.04 state_HYPE_cj_dyn_asymmetric_lp0.3_lm0.3_kp0.035_km0.035_ep4.0_em4.0_a0.001_ph8e-05_sm1.15_vs0.1_minh3.0_maxh90.0_ls1.0_ks1.0_es1.0_ss1.0_c0.04_l2.json
 10 HYPE        391.57 $   1.6048       1 $     39.90   -1.41   14.62  1.15  90.0   0.04 state_HYPE_cj_dyn_asymmetric_lp0.3_lm0.3_kp0.035_km0.035_ep4.0_em4.0_a0.001_ph8e-05_sm1.15_vs0.1_minh4.0_maxh90.0_ls1.0_ks1.0_es1.0_ss1.0_c0.04_l2.json
 11 HYPE        391.57 $   1.6048       1 $     39.90   -1.41   14.62  1.15  90.0   0.04 state_HYPE_cj_dyn_asymmetric_lp0.3_lm0.3_kp0.035_km0.035_ep4.0_em4.0_a0.001_ph8e-05_sm1.15_vs0.1_minh5.0_maxh90.0_ls1.0_ks1.0_es1.0_ss1.0_c0.04_l2.json
 12 HYPE        391.57 $   1.6048       1 $     39.90   -1.41   14.62  1.15  90.0   0.04 state_HYPE_cj_dyn_asymmetric_lp0.3_lm0.3_kp0.035_km0.035_ep4.0_em4.0_a0.001_ph8e-05_sm1.15_vs0.1_minh6.0_maxh90.0_ls1.0_ks1.0_es1.0_ss1.0_c0.04_l2.json
 13 HYPE        391.57 $   1.6048       1 $     39.90   -1.41   14.62   1.3  90.0   0.04 state_HYPE_cj_dyn_asymmetric_lp0.3_lm0.3_kp0.035_km0.035_ep4.0_em4.0_a0.001_ph8e-05_sm1.3_vs0.1_minh3.0_maxh90.0_ls1.0_ks1.0_es1.0_ss1.0_c0.04_l2.json
 14 HYPE        391.57 $   1.6048       1 $     39.90   -1.41   14.62   1.3  90.0   0.04 state_HYPE_cj_dyn_asymmetric_lp0.3_lm0.3_kp0.035_km0.035_ep4.0_em4.0_a0.001_ph8e-05_sm1.3_vs0.1_minh4.0_maxh90.0_ls1.0_ks1.0_es1.0_ss1.0_c0.04_l2.json
 15 HYPE        391.57 $   1.6048       1 $     39.90   -1.41   14.62   1.3  90.0   0.04 state_HYPE_cj_dyn_asymmetric_lp0.3_lm0.3_kp0.035_km0.035_ep4.0_em4.0_a0.001_ph8e-05_sm1.3_vs0.1_minh5.0_maxh90.0_ls1.0_ks1.0_es1.0_ss1.0_c0.04_l2.json
 16 HYPE        391.57 $   1.6048       1 $     39.90   -1.41   14.62   1.3  90.0   0.04 state_HYPE_cj_dyn_asymmetric_lp0.3_lm0.3_kp0.035_km0.035_ep4.0_em4.0_a0.001_ph8e-05_sm1.3_vs0.1_minh6.0_maxh90.0_ls1.0_ks1.0_es1.0_ss1.0_c0.04_l2.json
 17 HYPE        391.57 $   1.6048       1 $     39.90   -1.41   14.62  1.45  90.0   0.04 state_HYPE_cj_dyn_asymmetric_lp0.3_lm0.3_kp0.035_km0.035_ep4.0_em4.0_a0.001_ph8e-05_sm1.45_vs0.1_minh3.0_maxh90.0_ls1.0_ks1.0_es1.0_ss1.0_c0.04_l2.json
 18 HYPE        391.57 $   1.6048       1 $     39.90   -1.41   14.62  1.45  90.0   0.04 state_HYPE_cj_dyn_asymmetric_lp0.3_lm0.3_kp0.035_km0.035_ep4.0_em4.0_a0.001_ph8e-05_sm1.45_vs0.1_minh4.0_maxh90.0_ls1.0_ks1.0_es1.0_ss1.0_c0.04_l2.json
 19 HYPE        391.57 $   1.6048       1 $     39.90   -1.41   14.62  1.45  90.0   0.04 state_HYPE_cj_dyn_asymmetric_lp0.3_lm0.3_kp0.035_km0.035_ep4.0_em4.0_a0.001_ph8e-05_sm1.45_vs0.1_minh5.0_maxh90.0_ls1.0_ks1.0_es1.0_ss1.0_c0.04_l2.json
 20 HYPE        391.57 $   1.6048       1 $     39.90   -1.41   14.62  1.45  90.0   0.04 state_HYPE_cj_dyn_asymmetric_lp0.3_lm0.3_kp0.035_km0.035_ep4.0_em4.0_a0.001_ph8e-05_sm1.45_vs0.1_minh6.0_maxh90.0_ls1.0_ks1.0_es1.0_ss1.0_c0.04_l2.json
 21 HYPE        391.57 $   1.6048       1 $     39.90   -1.41   14.62  1.65  90.0   0.04 state_HYPE_cj_dyn_asymmetric_lp0.3_lm0.3_kp0.035_km0.035_ep4.0_em4.0_a0.001_ph8e-05_sm1.65_vs0.1_minh3.0_maxh90.0_ls1.0_ks1.0_es1.0_ss1.0_c0.04_l2.json
 22 HYPE        391.57 $   1.6048       1 $     39.90   -1.41   14.62  1.65  90.0   0.04 state_HYPE_cj_dyn_asymmetric_lp0.3_lm0.3_kp0.035_km0.035_ep4.0_em4.0_a0.001_ph8e-05_sm1.65_vs0.1_minh4.0_maxh90.0_ls1.0_ks1.0_es1.0_ss1.0_c0.04_l2.json
 23 HYPE        391.57 $   1.6048       1 $     39.90   -1.41   14.62  1.65  90.0   0.04 state_HYPE_cj_dyn_asymmetric_lp0.3_lm0.3_kp0.035_km0.035_ep4.0_em4.0_a0.001_ph8e-05_sm1.65_vs0.1_minh5.0_maxh90.0_ls1.0_ks1.0_es1.0_ss1.0_c0.04_l2.json
